"personLabel"	"assocLabel"
"Lorraine Crosby"	"Bonnie Tyler"
"Mark Rivera"	"Billy Joel"
"Spanky Davis"	"Benny Goodman"
"Milt Hinton"	"Benny Goodman"
"Milt Hinton"	"Dizzy Gillespie"
"Stevie Salas"	"Glenn Hughes"
"Terry Gibbs"	"Benny Goodman"
"Warren Haynes"	"Les Claypool"
"Aaron Sterling"	"Fiona Apple"
"Shane Gaalaas"	"Glenn Hughes"
"Danny Pearson (musician)"	"Barry White"
"Jeffrey Kollman"	"Glenn Hughes"
"Larry Russell (bassist)"	"Billy Joel"
"Mike Deasy"	"Billy Joel"
"Rahn Coleman"	"Barry White"
"Ellis Larkins"	"Ella Fitzgerald"
"John Keeble"	"Fish (singer)"
"Lennie Niehaus"	"Clint Eastwood"
"Paul Chambers"	"John Coltrane"
"Ray Brown (musician)"	"Dizzy Gillespie"
"Gabe Baltazar"	"Dizzy Gillespie"
"Mike Vernon (record producer)"	"Christine McVie"
"Richard Tee"	"Billy Joel"
"Bill Douglass"	"Benny Goodman"
"Mike Bryan (musician)"	"Benny Goodman"
"Valerie Capers"	"Dizzy Gillespie"
"Michael J. Mullins"	"Cliff Richard"
"Teddy Reig"	"Charlie Parker"
"Teddy Reig"	"Dizzy Gillespie"
"Astor Piazzolla"	"Pino Presti"
"Barry White"	"Gloria Scott (singer)"
"Bessie Smith"	"Alberta Hunter"
"Bessie Smith"	"Ma Rainey"
"Billie Holiday"	"Artie Shaw"
"Billie Holiday"	"Sarah Vaughan"
"Billie Holiday"	"Lester Young"
"Billie Holiday"	"Louis Armstrong"
"Billie Holiday"	"Carmen McRae"
"Billie Holiday"	"Count Basie"
"Charlie Parker"	"Miles Davis"
"Chuck Berry"	"T-Bone Walker"
"Chuck Berry"	"Johnnie Johnson (musician)"
"Chuck Berry"	"Muddy Waters"
"Cliff Richard"	"Olivia Newton-John"
"Fish (singer)"	"Tony Banks (musician)"
"George Michael"	"Elton John"
"Glenn Hughes"	"Gary Moore"
"Herbie Hancock"	"Chick Corea"
"Herbie Hancock"	"Joni Mitchell"
"Herbie Hancock"	"Wayne Shorter"
"Herbie Hancock"	"Clark Terry"
"Herbie Hancock"	"Howard Jones (musician)"
"Ike Turner"	"Tina Turner"
"Joan Baez"	"Ennio Morricone"
"Joan Baez"	"Dar Williams"
"Joan Baez"	"Janis Ian"
"Joan Baez"	"Odetta"
"Joan Baez"	"Bob Dylan"
"Joan Baez"	"Paul Simon"
"Joan Baez"	"Donovan"
"John Coltrane"	"Eric Dolphy"
"John Coltrane"	"Thelonious Monk"
"John Paul Jones (musician)"	"Seasick Steve"
"John Paul Jones (musician)"	"Donovan"
"King Oliver"	"Louis Armstrong"
"Krist Novoselic"	"Aya (Japanese singer)"
"Les Claypool"	"Tom Waits"
"Lindsey Buckingham"	"Walter Egan"
"Norman Granz"	"Cannonball Adderley"
"Norman Granz"	"Coleman Hawkins"
"Norman Granz"	"Lester Young"
"Norman Granz"	"Joe Pass"
"Norman Granz"	"Louis Armstrong"
"Norman Granz"	"Oscar Peterson"
"Norman Granz"	"Bill Harris (musician)"
"Norman Granz"	"Roy Eldridge"
"Norman Granz"	"Sonny Stitt"
"Norman Granz"	"Tal Farlow"
"Norman Granz"	"Paulinho da Costa"
"Norman Granz"	"Lionel Hampton"
"Norman Granz"	"Count Basie"
"Norman Granz"	"Johnny Hodges"
"Norman Granz"	"Thelonious Monk"
"Norman Granz"	"Buddy Rich"
"Norman Granz"	"Benny Carter"
"Norman Granz"	"Bill Evans"
"Norman Granz"	"Buddy DeFranco"
"Pete Phipps"	"Gary Glitter"
"Peter Gabriel"	"Cat Stevens"
"Peter Gabriel"	"Kate Bush"
"Peter Gabriel"	"Sting (musician)"
"Prairie Prince"	"Todd Rundgren"
"Princess Superstar"	"Kool Keith"
"Princess Superstar"	"Grandmaster Flash"
"Rahsaan Roland Kirk"	"Charles Mingus"
"Rahsaan Roland Kirk"	"Quincy Jones"
"Stan Rogers"	"Nathan Rogers"
"Steve Goodman"	"Bonnie Koloc"
"Steve Goodman"	"Steve Martin"
"Steve Goodman"	"David Allan Coe"
"Steve Lacy"	"Red Allen"
"Steve Lacy"	"Cecil Taylor"
"Steve Lacy"	"Mal Waldron"
"Steve Lacy"	"Thelonious Monk"
"Steve Lacy"	"Pops Foster"
